symbol,date,year,quarter,pre_close,post_close,reaction_1d,eps_actual,eps_estimate,eps_surprise_pct,rev_actual,rev_estimate,rev_surprise_pct,close_prev_day,open_day1,gap_pct,volume_day1,avg_volume_20d,volume_ratio,guidance_flag
AAPL,2025-03-31,2025,2,217.8999938964844,223.19000244140625,0.0243,1.65,1.6596,-0.005784526391901695,,,,217.89999389648438,217.00999450683594,-0.004084439718117849,65299300.0,52497010.0,1.243867031665232,0
AAPL,2025-06-30,2025,3,201.0800018310547,207.82000732421875,0.0335,1.57,1.4626,0.07343087652126362,,,,201.0800018310547,202.00999450683594,0.004624988399207496,91912800.0,53965820.0,1.7031669304756232,0
AAPL,2025-09-30,2025,4,254.42999267578125,255.4499969482422,0.004,1.85,1.8075,0.0235131396957123,,,,254.42999267578125,254.86000061035156,0.0016900835080330694,37704300.0,61391605.0,0.6141605191784772,0
AAPL,2025-12-31,2026,1,273.0799865722656,271.010009765625,-0.0076,2.84,2.7257,0.0419341820449793,,,,273.0799865722656,273.05999755859375,-7.319838382438646e-05,27293600.0,42532375.0,0.6417135182317,0
ABNB,2025-03-31,2025,1,120.69000244140624,121.18000030517578,0.0041,0.24,0.2403,-0.0012484394506867352,,,,120.69000244140625,118.80999755859375,-0.015577138493515425,7090000.0,5330960.0,1.3299668352416825,0
ABNB,2025-06-30,2025,2,134.52000427246094,135.41000366210938,0.0066,1.02,0.9565,0.06638787245164662,,,,134.52000427246094,135.05999755859375,0.004014222933260495,3665900.0,5184465.0,0.7070932101962305,0
ABNB,2025-09-30,2025,3,122.91999816894533,122.31999969482422,-0.0049,2.21,2.3883,-0.07465561277896417,,,,122.91999816894531,122.9000015258789,-0.00016268014451905705,3730500.0,5040685.0,0.7400779854325354,0
ABNB,2025-12-31,2025,4,136.91000366210938,133.00999450683594,-0.0285,0.56,0.6702,-0.16442852879737385,,,,136.91000366210938,136.6199951171875,-0.002118242182197359,2188100.0,4474045.0,0.48906526420722185,0
ACLS,2025-03-31,2025,1,49.709999084472656,50.31999969482422,0.0123,1.04,0.394,1.6395939086294415,,,,49.709999084472656,48.91999816894531,-0.015892193322813948,796600.0,652430.0,1.2209738975828826,0
ACLS,2025-06-30,2025,2,69.69000244140625,71.98999786376953,0.033,1.13,0.7446,0.517593338705345,,,,69.69000244140625,70.05000305175781,0.005165742541826466,465300.0,686775.0,0.6775144698045211,0
ACLS,2025-09-30,2025,3,96.6999969482422,94.76000213623048,-0.0201,1.21,1.0231,0.18268008992278378,,,,96.69999694824219,96.29000091552734,-0.004239876376979521,301700.0,503350.0,0.599384126353432,0
ACLS,2025-12-31,2025,4,81.55000305175781,86.12000274658203,0.056,1.49,1.141,0.30587204206836105,,,,81.55000305175781,81.63999938964844,0.0011035724650250043,217200.0,493205.0,0.4403848298374915,0
ADBE,2025-03-31,2025,1,385.7099914550781,383.2000122070313,-0.0065,5.08,5.0709,0.0017945532351259358,,,,385.7099914550781,380.0,-0.01480384636534141,3960700.0,4514545.0,0.8773198627990196,0
ADBE,2025-06-30,2025,2,385.8299865722656,392.1000061035156,0.0163,5.06,5.0632,-0.0006320113762048775,,,,385.8299865722656,387.29998779296875,0.00380997141710704,4645500.0,4527995.0,1.0259507795392884,0
ADBE,2025-09-30,2025,3,359.4200134277344,343.7200012207031,-0.0437,5.31,5.2812,0.005453306066802903,,,,359.4200134277344,360.5400085449219,0.0031161178435955075,5360700.0,5712215.0,0.9384625753757518,0
ADBE,2025-12-31,2025,4,352.510009765625,333.29998779296875,-0.0545,5.5,5.5024,-0.00043617330619361293,,,,352.510009765625,351.010009765625,-0.004255198316204729,2116200.0,4449430.0,0.4756114828191476,0
ADI,2025-06-30,2025,2,236.9600067138672,240.63999938964844,0.0155,1.85,1.7182,0.07670818298219075,,,,236.9600067138672,237.5399932861328,0.0024476137568900714,3258700.0,3803395.0,0.8567871598926748,0
ADI,2025-09-30,2025,3,244.7899932861328,239.27999877929688,-0.0225,2.05,1.9727,0.039184873523597064,,,,244.7899932861328,245.80999755859375,0.004166854448452326,2507800.0,2727370.0,0.919493871385254,0
ADI,2025-12-31,2025,4,274.82000732421875,273.739990234375,-0.0039,2.26,2.2432,0.007489300998573434,,,,274.82000732421875,274.82000732421875,0.0,1790900.0,3504230.0,0.5110680520399631,0
ADYEY,2024-06-30,2024,2,11.869999885559082,11.93000030517578,0.0051,13.15,12.9471,0.01567146310756846,,,,11.869999885559082,12.170000076293945,0.025273815806842626,419800.0,479750.0,0.875039082855654,0
ADYEY,2024-12-31,2024,4,14.68000030517578,14.460000038146973,-0.015,16.49,16.0487,0.027497554319041308,,,,14.680000305175781,14.640000343322754,-0.0027247929851148853,245300.0,460810.0,0.5323235172847811,0
ADYEY,2025-06-30,2025,2,18.3799991607666,18.020000457763672,-0.0196,15.22,15.9922,-0.048286039444229045,,,,18.3799991607666,18.219999313354492,-0.008705106350257093,254100.0,459010.0,0.5535827106163265,0
ADYEY,2025-12-31,2025,4,16.100000381469727,16.34000015258789,0.0149,18.4,18.395,0.00027181299266099514,,,,16.100000381469727,15.800000190734863,-0.018633551778057603,232100.0,686295.0,0.3381927596733183,0
AFRM,2025-03-31,2025,3,46.20000076293945,45.5099983215332,-0.0149,0.01,-0.0298,1.3355704697986577,,,,46.20000076293945,44.189998626708984,-0.04350653902678817,4968300.0,8906935.0,0.557801308755481,0
AFRM,2025-06-30,2025,4,68.05999755859375,67.0999984741211,-0.0141,0.2,0.1087,0.8399264029438822,,,,68.05999755859375,69.36000061035156,0.019100838941973553,4775900.0,5985850.0,0.7978649648754981,0
AFRM,2025-09-30,2026,1,76.55999755859375,74.41999816894531,-0.028,0.23,0.1093,1.1043000914913086,,,,76.55999755859375,76.5,-0.0007836671957549633,12011000.0,8084975.0,1.4855951935534741,0
AFRM,2025-12-31,2026,2,75.8499984741211,74.02999877929688,-0.024,0.37,0.266,0.3909774436090225,,,,75.8499984741211,75.87999725341797,0.0003955013829975243,2527500.0,4834595.0,0.5227945670733536,0
AI,2025-06-30,2025,4,24.239999771118164,24.56999969482422,0.0136,-0.16,-0.2069,0.2266795553407443,,,,24.239999771118164,24.5,0.01072608215085979,6781500.0,6102785.0,1.111213978536029,0
AI,2025-09-30,2026,1,17.31999969482422,17.5,0.0104,-0.37,-0.2033,-0.8199704869650761,,,,17.31999969482422,17.280000686645508,-0.0023094115983537775,6162400.0,10237565.0,0.6019400121024873,0
AI,2025-12-31,2026,2,13.81999969482422,13.75,-0.0051,-0.25,-0.3363,0.2566161165625929,,,,13.819999694824219,13.75,-0.0050651010397948565,5870100.0,5771045.0,1.017164135784767,0
AMAT,2025-06-30,2025,2,183.2100067138672,183.75999450683597,0.003,2.39,2.3596,0.012883539582980254,,,,183.2100067138672,183.8000030517578,0.0032203281276664466,4070700.0,7507250.0,0.5422358386892671,0
AMAT,2025-09-30,2025,3,204.9499969482422,217.7400054931641,0.0624,2.48,2.4069,0.030371016660434656,,,,204.9499969482422,204.36000061035156,-0.0028787330894160584,12253800.0,8718540.0,1.4054876160458059,0
AMAT,2025-12-31,2025,4,259.9700012207031,268.8699951171875,0.0342,2.17,2.1352,0.016298239040839133,,,,259.9700012207031,261.4700012207031,0.005769896499429432,3025800.0,6442605.0,0.4696547436945149,0
AMD,2025-03-31,2025,1,103.22000122070312,102.77999877929688,-0.0043,0.96,0.9523,0.008085687283419015,,,,103.22000122070312,100.23999786376953,-0.028870406139230757,30865300.0,34520445.0,0.8941165155895296,0
AMD,2025-06-30,2025,2,143.80999755859375,136.11000061035156,-0.0535,0.48,0.4961,-0.032453134448699864,,,,143.80999755859375,144.0,0.0013212046772258352,42972500.0,53444985.0,0.8040511191087433,0
AMD,2025-09-30,2025,3,161.36000061035156,164.00999450683594,0.0164,1.2,1.175,0.021276595744680774,,,,161.36000061035156,160.7899932861328,-0.00353251934843004,29669300.0,44294290.0,0.6698222276505618,0
AMD,2025-12-31,2025,4,215.33999633789065,223.47000122070312,0.0378,1.53,1.3324,0.1483038126688682,,,,215.33999633789062,215.82000732421875,0.002229084213296532,17591600.0,27581760.0,0.6377983130880698,0
AME,2025-03-31,2025,1,170.38999938964844,171.88999938964844,0.0088,1.75,1.7052,0.0262725779967159,,,,170.38999938964844,169.0,-0.0081577521839752,1498800.0,1324200.0,1.1318531943815133,0
AME,2025-06-30,2025,2,180.52999877929688,183.05999755859372,0.014,1.78,1.7036,0.04484620803005402,,,,180.52999877929688,180.50999450683594,-0.00011080857805462736,1600800.0,1408760.0,1.1363184644652033,0
AME,2025-09-30,2025,3,186.8699951171875,187.44000244140625,0.0031,1.89,1.7771,0.06353047099206573,,,,186.8699951171875,186.77999877929688,-0.0004815986527649217,1836100.0,1126145.0,1.6304294740020158,0
AME,2025-12-31,2025,4,207.02999877929688,209.13999938964844,0.0102,2.01,1.9643,0.023265285343379245,,,,207.02999877929688,206.80999755859375,-0.001062653827949137,810400.0,1395690.0,0.580644699037752,0
AMKR,2025-03-31,2025,1,18.299999237060547,18.11000061035156,-0.0104,0.09,0.0885,0.0169491525423729,,,,18.299999237060547,18.0,-0.01639340161572239,2144800.0,2938890.0,0.7297993460115894,0
AMKR,2025-06-30,2025,2,21.149999618530277,21.479999542236328,0.0156,0.22,0.1602,0.3732833957553058,,,,21.149999618530273,21.260000228881836,0.005200974578514272,1549800.0,1824705.0,0.8493427704752275,0
AMKR,2025-09-30,2025,3,28.520000457763672,29.46999931335449,0.0333,0.51,0.4335,0.17647058823529416,,,,28.520000457763672,28.469999313354492,-0.0017531957786336028,2088600.0,2512695.0,0.8312190695647502,0
