symbol,num_events,avg_reaction,win_rate,volatility
SYM,4,0.0649,1.0,0.02
SMCI,4,0.0473,0.75,0.0592
MU,4,0.0403,0.75,0.0656
LRCX,4,0.0383,0.75,0.046
NIO,4,0.0366,1.0,0.0192
HOOD,4,0.0333,0.75,0.0531
AMAT,3,0.0332,1.0,0.0297
TSM,4,0.0316,0.75,0.0379
TER,4,0.0303,0.75,0.0274
PL,4,0.0292,0.75,0.0361
ASML,4,0.0275,0.5,0.0455
KLAC,4,0.0272,1.0,0.0233
AVAV,4,0.0215,0.75,0.0892
LCID,4,0.0196,0.75,0.0549
MSTR,4,0.0191,0.75,0.0367
CHPT,3,0.0188,0.6667,0.0529
MRVL,3,0.0151,0.6667,0.017
UPST,4,0.0138,0.5,0.0448
ARM,4,0.012,0.5,0.0562
RKLB,4,0.011,0.5,0.0504
SPCE,4,0.0076,0.5,0.0657
DDOG,4,0.0064,0.5,0.0326
AI,3,0.0063,0.6667,0.01
NXPI,4,0.005,0.75,0.0105
MCHP,4,0.0047,0.75,0.009
EA,4,0.0041,0.75,0.0059
ON,4,0.0029,0.5,0.0333
NVDA,3,0.0028,0.6667,0.0291
COIN,4,0.0025,0.75,0.0383
RIVN,4,0.0023,0.25,0.0477
CYBR,4,-0.0001,0.5,0.032
DOCN,4,-0.0009,0.5,0.011
KTOS,4,-0.0016,0.5,0.0595
AVGO,3,-0.0023,0.3333,0.0173
LI,4,-0.0046,0.5,0.0153
FTNT,4,-0.0075,0.5,0.0161
PATH,4,-0.0085,0.25,0.0339
ZS,3,-0.0099,0.3333,0.0309
SNOW,3,-0.0101,0.3333,0.0292
TENB,4,-0.012,0.5,0.0327
TTWO,4,-0.0123,0.0,0.0106
CRWD,3,-0.0124,0.3333,0.035
TSLA,4,-0.0129,0.5,0.0495
PLTR,4,-0.013,0.25,0.0441
PANW,3,-0.0137,0.3333,0.027
ESTC,3,-0.0151,0.3333,0.0339
NET,4,-0.0164,0.25,0.0227
S,4,-0.0179,0.25,0.0274
MDB,3,-0.0185,0.3333,0.0328
RBLX,4,-0.0194,0.25,0.0394
AFRM,4,-0.0203,0.0,0.0068
OKTA,3,-0.0217,0.3333,0.0223
GTLB,3,-0.0341,0.3333,0.0368
HUBS,4,-0.0496,0.25,0.0757
