symbol,signal_date,score,signal,entry_lag,hold_days,entry_date,exit_date,entry_open,exit_close,pnl
AFRM,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,68.12000274658203,69.06999969482422,0.013945932324406054
AI,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,24.329999923706055,27.389999389648438,0.12577063195799099
APP,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,347.0,352.739990234375,0.016541758600504324
BE,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,23.420000076293945,28.709999084472656,0.22587527715396222
COIN,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,339.9800109863281,373.8500061035156,0.0996234896837789
DOCN,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,28.100000381469727,29.829999923706055,0.06156581917262747
FSLR,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,165.02000427246094,165.99000549316406,0.00587808262991908
GOOGL,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,175.74000549316406,176.6199951171875,0.005007338093304357
GTLB,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,44.75,46.880001068115234,0.04759778923162535
HOOD,2025-06-30,3,LONG,1,5,2025-07-01,2025-07-09,95.01200103759766,94.54000091552734,-0.004967794772404962
INTC,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,22.329999923706055,23.440000534057617,0.049708939280969706
KTOS,2025-06-30,3,LONG,1,5,2025-07-01,2025-07-09,46.279998779296875,46.02000045776367,-0.005617941408622337
MSTR,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,395.70001220703125,415.4100036621094,0.04981043934051184
NTDOY,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,23.5,22.1299991607666,-0.05829790805248504
NU,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,13.729999542236328,13.640000343322754,-0.006554930947864784
ORCL,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,219.3000030517578,235.80999755859375,0.07528497162373204
PLUG,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,1.4500000476837158,1.7799999713897705,0.22758614679579417
ROKU,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,86.73999786376953,88.62999725341797,0.021789248745622488
RUN,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,8.199999809265137,10.505000114440918,0.28109760473059686
S,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,18.139999389648438,18.520000457763672,0.02094824040248212
SHOP,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,114.30999755859375,114.31999969482422,8.750010011453102e-05
SHOP,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,114.30999755859375,114.31999969482422,8.750010011453102e-05
SOFI,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,18.0,20.219999313354492,0.12333329518636067
TTWO,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,242.42999267578125,242.22999572753906,-0.0008249678434370022
TWLO,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,124.55999755859375,121.48999786376953,-0.024646754616224786
UPST,2025-06-30,2,LONG,1,5,2025-07-01,2025-07-09,63.63999938964844,78.41999816894531,0.2322438548247529
NIO,2025-09-30,2,LONG,1,5,2025-10-01,2025-10-08,7.789999961853027,7.849999904632568,0.00770217497732422
PATH,2025-09-30,2,LONG,1,5,2025-10-01,2025-10-08,13.520000457763672,15.579999923706055,0.15236681924514706
S,2025-09-30,2,LONG,1,5,2025-10-01,2025-10-08,17.649999618530273,17.989999771118164,0.0192634651521994
SNAP,2025-09-30,2,LONG,1,5,2025-10-01,2025-10-08,7.539999961853027,8.430000305175781,0.1180371814092195
TWLO,2025-09-30,2,LONG,1,5,2025-10-01,2025-10-08,101.30999755859375,114.05000305175781,0.12575269766239744
WOLF,2025-09-30,3,LONG,1,5,2025-10-01,2025-10-08,28.670000076293945,30.360000610351562,0.05894665258320002
XYL,2025-09-30,2,LONG,1,5,2025-10-01,2025-10-08,146.39999389648438,148.19000244140625,0.012226834832981915
AFRM,2025-06-30,2,LONG,1,10,2025-07-01,2025-07-16,68.12000274658203,67.20999908447266,-0.013358831847008918
AI,2025-06-30,2,LONG,1,10,2025-07-01,2025-07-16,24.329999923706055,27.229999542236328,0.11919439488796071
APP,2025-06-30,2,LONG,1,10,2025-07-01,2025-07-16,347.0,355.5,0.024495677233429394
BE,2025-06-30,2,LONG,1,10,2025-07-01,2025-07-16,23.420000076293945,24.690000534057617,0.054227175645878166
COIN,2025-06-30,2,LONG,1,10,2025-07-01,2025-07-16,339.9800109863281,398.20001220703125,0.17124536543133523
