symbol,date,year,quarter,pre_close,post_close,reaction_1d,eps_actual,eps_estimate,eps_surprise_pct,rev_actual,rev_estimate,rev_surprise_pct,close_prev_day,open_day1,gap_pct,volume_day1,avg_volume_20d,volume_ratio,guidance_flag,score,signal,reasons,signal_date,entry_date,entry_open,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,ret_close_1d,ret_close_3d,ret_close_5d,ret_close_10d,ret_close_20d,pnl_1d,pnl_3d,pnl_5d,pnl_10d,pnl_20d
ADYEY,2024-06-30,2024,2,11.869999885559082,11.93000030517578,0.0051,13.15,12.9471,0.0156714631075684,,,,11.869999885559082,12.170000076293944,0.0252738158068426,419800.0,479750.0,0.875039082855654,0,1,NONE,Positive gap,2024-06-30,2024-07-01,12.170000076293945,-0.024650796126060543,0.023007373148386863,-0.023007373148386863,0.00657353518525339,-0.018077260940807152,-0.01314707037050678,0.010682014266716923,-0.020542317044597008,0.012325358881669942,-0.009038591289043246,,,,,
ADYEY,2024-12-31,2024,4,14.68000030517578,14.460000038146973,-0.015,16.49,16.0487,0.0274975543190413,,,,14.68000030517578,14.640000343322754,-0.0027247929851148,245300.0,460810.0,0.5323235172847811,0,-1,NONE,Weak volume,2024-12-31,2025-01-02,14.5600004196167,0.014423079127390645,0.06387357999306621,0.03365382946404225,0.05425823757454429,0.0700549089761776,0.0151098425147081,0.043269171882564184,0.03571425062521013,0.050137329752600775,0.09134614597360484,,,,,
BLDP,2024-12-31,2024,4,1.6699999570846558,1.840000033378601,0.1018,,,,,,,1.6699999570846558,1.6699999570846558,0.0,10780100.0,7985005.0,1.3500429868234272,0,0,NONE,,2024-12-31,2025-01-02,1.7100000381469727,0.09941517736389925,0.1812865122011751,0.023391790035497878,-0.017543912239656678,-0.23976612671598632,0.12280696739939712,0.16374266967455167,0.023391790035497878,-0.07602338732840137,-0.23391817920711183,,,,,
LI,2024-12-31,2024,4,24.270000457763672,24.020000457763672,-0.0103,,,,,,,24.270000457763672,24.200000762939453,-0.0028842065720615,3875600.0,5345725.0,0.724990529815881,0,0,NONE,,2024-12-31,2025-01-02,24.209999084472656,0.025196226080933352,-0.016109021247281575,-0.06030562328311043,-0.08095824694721789,-0.0842626635821348,0.02230487137331943,-0.013217666539667654,-0.08137130887452088,-0.06691445655294424,-0.05493597579518557,,,,,
SPCE,2024-12-31,2024,4,5.980000019073486,6.059999942779541,0.0134,,,,,,,5.980000019073486,6.070000171661377,0.0150501926924466,1671800.0,1747475.0,0.956694659437188,0,1,NONE,Positive gap,2024-12-31,2025-01-02,6.010000228881836,0.014974987075412626,0.0915140920052898,-0.029950132832069862,-0.1048253062309999,-0.24625623339599126,0.08652245609369302,0.038269473124316285,-0.033277916553341814,-0.1430948586959385,-0.2412645974843945,,,,,
AAPL,2025-03-31,2025,2,217.8999938964844,223.19000244140625,0.0243,1.65,1.6596,-0.0057845263919016,,,,217.8999938964844,217.009994506836,-0.0040844397181178,65299300.0,52497010.0,1.243867031665232,0,0,NONE,,2025-03-31,2025-04-01,219.80999755859375,0.006869613677250888,-0.11792001481659603,-0.15063009407261188,-0.08166142189896225,-0.04781399674068208,0.018561493455124124,-0.14298709351199143,-0.2155952864565039,-0.080387600041873,-0.03325598307531557,,,,,
ABNB,2025-03-31,2025,1,120.69000244140624,121.18000030517578,0.0041,0.24,0.2403,-0.0012484394506867,,,,120.69000244140624,118.80999755859376,-0.0155771384935154,7090000.0,5330960.0,1.3299668352416825,0,-1,NONE,Negative gap,2025-03-31,2025-04-01,119.66999816894531,-0.0015876561788151086,-0.0869891885351116,-0.07462188051986735,-0.04550012349074482,0.01157351180264228,0.02615530150166531,-0.10871559042283052,-0.11682122454621136,-0.042032245811483376,0.01880170497557408,,,,,
ACLS,2025-03-31,2025,1,49.709999084472656,50.31999969482422,0.0123,1.04,0.394,1.6395939086294415,,,,49.709999084472656,48.91999816894531,-0.0158921933228139,796600.0,652430.0,1.2209738975828826,0,0,NONE,EPS strong beat; Negative gap,2025-03-31,2025-04-01,49.31999969482422,0.004663413293988015,-0.12753448812748946,-0.052919720731982554,-0.03832115574499445,-0.053933492779223546,0.03325221816294017,-0.1399027082030378,-0.13463096980402572,-0.04359289414400652,-0.006893758205427792,,,,,
ADBE,2025-03-31,2025,1,385.7099914550781,383.2000122070313,-0.0065,5.08,5.0709,0.0017945532351259,,,,385.7099914550781,380.0,-0.0148038463653414,3960700.0,4514545.0,0.8773198627990196,0,-1,NONE,Negative gap,2025-03-31,2025-04-01,381.1300048828125,-0.007477779411232467,-0.05806418964473001,-0.0814157856420614,-0.07892324588585611,-0.03741508037397785,0.012200545317638076,-0.08411827236864061,-0.10791594562453538,-0.08068113138836923,-0.016136210263412186,,,,,
AFRM,2025-03-31,2025,3,46.20000076293945,45.5099983215332,-0.0149,0.01,-0.0298,1.3355704697986577,,,,46.20000076293945,44.18999862670898,-0.0435065390267881,4968300.0,8906935.0,0.557801308755481,0,-1,NONE,EPS strong beat; Negative gap; Weak volume,2025-03-31,2025-04-01,44.439998626708984,0.00022507057919793325,-0.1989199015698201,-0.09439693574389475,-0.08820878240507743,0.07245727543222436,0.07448248144863047,-0.19554452959605154,-0.1797929367839234,-0.06413138078740195,0.11971196802933369,,,,,
