symbol,date,year,quarter,pre_close,post_close,reaction_1d
ABNB,2026-02-12,2025,4,119.55000305175781,121.3499984741211,0.0151
ACLS,2026-02-17,2025,4,94.55000305175781,82.01000213623047,-0.1326
ADI,2026-02-18,2026,1,337.510009765625,345.29998779296875,0.0231
AI,2026-02-25,2026,3,10.119999885559082,8.399999618530273,-0.17
AMAT,2026-02-12,2026,1,339.8800048828125,354.9100036621094,0.0442
AMPL,2026-02-18,2025,4,6.340000152587891,7.159999847412109,0.1293
ANSS,2026-02-17,2025,4,,,
AVAV,2026-03-10,2026,3,,,
AVGO,2026-03-04,2026,1,313.8399963378906,332.7699890136719,0.0603
BIDU,2026-02-26,2025,4,132.64999389648438,124.44000244140625,-0.0619
BOX,2026-03-03,2026,4,23.579999923706055,26.350000381469727,0.1175
CDNS,2026-02-17,2025,4,299.4599914550781,305.010009765625,0.0185
CHPT,2026-03-04,2026,4,6.46999979019165,5.920000076293945,-0.085
COIN,2026-02-12,2025,4,153.1999969482422,164.32000732421875,0.0726
CRM,2026-02-25,2026,4,185.4199981689453,199.47000122070312,0.0758
CRWD,2026-03-03,2026,4,384.8599853515625,407.67999267578125,0.0593
DOCN,2026-02-24,2025,4,59.2400016784668,59.27000045776367,0.0005
EPAM,2026-02-19,2025,4,167.69000244140625,138.85000610351562,-0.172
ESTC,2026-02-26,2026,3,58.0,52.06999969482422,-0.1022
FIS,2026-02-24,2025,4,47.459999084472656,49.06999969482422,0.0339
FIVN,2026-02-19,2025,4,16.729999542236328,19.31999969482422,0.1548
FSLR,2026-02-24,2025,4,242.14999389648438,210.1199951171875,-0.1323
GLOB,2026-02-26,2025,4,44.529998779296875,49.7599983215332,0.1174
GPN,2026-02-18,2025,4,69.7699966430664,80.25,0.1502
GTLB,2026-03-03,2026,4,26.190000534057617,25.049999237060547,-0.0435
INTU,2026-02-26,2026,2,381.2300109863281,409.0299987792969,0.0729
KTOS,2026-02-23,2025,4,96.08000183105469,90.68000030517578,-0.0562
LCID,2026-02-24,2025,4,9.4399995803833,10.279999732971191,0.089
LDOS,2026-02-17,2025,4,176.3000030517578,171.52999877929688,-0.0271
MDB,2026-03-02,2026,4,328.4700012207031,252.72999572753906,-0.2306
MELI,2026-02-24,2025,4,1864.4599609375,1767.7099609375,-0.0519
MRVL,2026-03-05,2026,4,78.08999633789062,89.56999969482422,0.147
NIO,2026-03-10,2025,4,,,
NU,2026-02-25,2025,4,16.530000686645508,15.0600004196167,-0.0889
NVDA,2026-02-25,2026,4,192.85000610351562,184.88999938964844,-0.0413
OKTA,2026-03-04,2026,4,72.5199966430664,79.6500015258789,0.0983
ONTO,2026-02-19,2025,4,220.0,216.41000366210938,-0.0163
ORCL,2026-03-10,2026,3,,,
PANW,2026-02-17,2026,2,166.9499969482422,152.35000610351562,-0.0875
PATH,2026-03-11,2026,4,,,
PINS,2026-02-12,2025,4,19.09000015258789,15.420000076293945,-0.1922
PLUG,2026-03-02,2025,4,1.7899999618530273,2.2300000190734863,0.2458
RKLB,2026-02-26,2025,4,70.19999694824219,69.0999984741211,-0.0157
ROKU,2026-02-12,2025,4,87.88999938964844,90.05999755859375,0.0247
RUN,2026-02-26,2025,4,19.549999237060547,13.25,-0.3223
SE,2026-03-03,2025,4,105.20999908447266,88.26000213623047,-0.1611
SEDG,2026-02-18,2025,4,37.130001068115234,34.959999084472656,-0.0584
SNOW,2026-02-25,2026,4,161.05999755859375,173.05999755859375,0.0745
SNPS,2026-02-25,2026,1,440.7200012207031,426.0,-0.0334
TWLO,2026-02-12,2025,4,110.44000244140625,113.0,0.0232
VEEV,2026-03-04,2026,4,185.91000366210938,196.05999755859375,0.0546
WDAY,2026-02-24,2026,4,129.2100067138672,133.14999389648438,0.0305
ZM,2026-02-25,2026,4,87.51000213623047,75.54000091552734,-0.1368
ZS,2026-02-26,2026,2,155.6999969482422,146.99000549316406,-0.0559
