symbol,date,year,quarter,pre_close,post_close,reaction_1d
AAPL,2025-03-31,2025,2,217.89999389648438,223.19000244140625,0.0243
AAPL,2025-06-30,2025,3,201.0800018310547,207.82000732421875,0.0335
AAPL,2025-09-30,2025,4,254.42999267578125,255.4499969482422,0.004
AAPL,2025-12-31,2026,1,273.0799865722656,271.010009765625,-0.0076
ABNB,2025-03-31,2025,1,120.69000244140625,121.18000030517578,0.0041
ABNB,2025-06-30,2025,2,134.52000427246094,135.41000366210938,0.0066
ABNB,2025-09-30,2025,3,122.91999816894531,122.31999969482422,-0.0049
ABNB,2025-12-31,2025,4,136.91000366210938,133.00999450683594,-0.0285
ACLS,2025-03-31,2025,1,49.709999084472656,50.31999969482422,0.0123
ACLS,2025-06-30,2025,2,69.69000244140625,71.98999786376953,0.033
ACLS,2025-09-30,2025,3,96.69999694824219,94.76000213623047,-0.0201
ACLS,2025-12-31,2025,4,81.55000305175781,86.12000274658203,0.056
ADBE,2025-03-31,2025,1,385.7099914550781,383.20001220703125,-0.0065
ADBE,2025-06-30,2025,2,385.8299865722656,392.1000061035156,0.0163
ADBE,2025-09-30,2025,3,359.4200134277344,343.7200012207031,-0.0437
ADBE,2025-12-31,2025,4,352.510009765625,333.29998779296875,-0.0545
ADI,2025-06-30,2025,2,236.9600067138672,240.63999938964844,0.0155
ADI,2025-09-30,2025,3,244.7899932861328,239.27999877929688,-0.0225
ADI,2025-12-31,2025,4,274.82000732421875,273.739990234375,-0.0039
ADYEY,2024-06-30,2024,2,11.869999885559082,11.930000305175781,0.0051
ADYEY,2024-12-31,2024,4,14.680000305175781,14.460000038146973,-0.015
ADYEY,2025-06-30,2025,2,18.3799991607666,18.020000457763672,-0.0196
ADYEY,2025-12-31,2025,4,16.100000381469727,16.34000015258789,0.0149
AFRM,2025-03-31,2025,3,46.20000076293945,45.5099983215332,-0.0149
AFRM,2025-06-30,2025,4,68.05999755859375,67.0999984741211,-0.0141
AFRM,2025-09-30,2026,1,76.55999755859375,74.41999816894531,-0.028
AFRM,2025-12-31,2026,2,75.8499984741211,74.02999877929688,-0.024
AI,2025-06-30,2025,4,24.239999771118164,24.56999969482422,0.0136
AI,2025-09-30,2026,1,17.31999969482422,17.5,0.0104
AI,2025-12-31,2026,2,13.819999694824219,13.75,-0.0051
AMAT,2025-06-30,2025,2,183.2100067138672,183.75999450683594,0.003
AMAT,2025-09-30,2025,3,204.9499969482422,217.74000549316406,0.0624
AMAT,2025-12-31,2025,4,259.9700012207031,268.8699951171875,0.0342
AMD,2025-03-31,2025,1,103.22000122070312,102.77999877929688,-0.0043
AMD,2025-06-30,2025,2,143.80999755859375,136.11000061035156,-0.0535
AMD,2025-09-30,2025,3,161.36000061035156,164.00999450683594,0.0164
AMD,2025-12-31,2025,4,215.33999633789062,223.47000122070312,0.0378
AME,2025-03-31,2025,1,170.38999938964844,171.88999938964844,0.0088
AME,2025-06-30,2025,2,180.52999877929688,183.05999755859375,0.014
