symbol,signal_date,score,signal,entry_lag,hold_days,entry_date,entry_year,exit_date,entry_open,exit_close,pnl
ASML,2018-01-17,4,LONG,1,3,2018-01-18,2018,2018-01-23,202.17999267578125,205.42999267578125,0.016074785427516298
LRCX,2018-01-24,4,LONG,1,3,2018-01-25,2018,2018-01-30,21.600000381469727,19.107999801635742,-0.11537039517702181
INTC,2018-01-25,4,LONG,1,3,2018-01-26,2018,2018-01-31,48.380001068115234,48.13999938964844,-0.004960762157257777
AMD,2018-01-30,4,LONG,1,3,2018-01-31,2018,2018-02-05,13.239999771118164,11.569999694824219,-0.12613293845645648
SAP,2018-01-30,4,LONG,1,3,2018-01-31,2018,2018-02-05,112.3499984741211,105.87000274658203,-0.057676865291917886
AMZN,2018-02-01,4,LONG,1,3,2018-02-02,2018,2018-02-07,73.86949920654297,70.83899688720703,-0.041025082772830165
NXPI,2018-02-07,4,LONG,1,3,2018-02-08,2018,2018-02-13,118.25,116.19999694824219,-0.017336178027550213
NVDA,2018-02-08,4,LONG,1,3,2018-02-09,2018,2018-02-14,5.956250190734863,6.0355000495910645,0.013305327398683965
BIDU,2018-02-13,4,LONG,1,3,2018-02-14,2018,2018-02-20,236.0399932861328,245.42999267578125,0.0397813915299755
HUBS,2018-02-13,4,LONG,1,3,2018-02-14,2018,2018-02-20,98.0,108.9000015258789,0.11122450536611128
SEDG,2018-02-14,4,LONG,1,3,2018-02-15,2018,2018-02-21,42.099998474121094,47.79999923706055,0.13539194701974275
FIVN,2018-02-21,4,LONG,1,3,2018-02-22,2018,2018-02-27,29.719999313354492,29.690000534057617,-0.0010093802150054304
SNPS,2018-02-21,4,LONG,1,3,2018-02-22,2018,2018-02-27,91.1500015258789,84.94000244140625,-0.06812944575441988
TXT,2018-04-18,4,LONG,1,3,2018-04-19,2018,2018-04-24,64.9800033569336,64.2699966430664,-0.01092654166185769
TXN,2018-04-24,4,LONG,1,3,2018-04-25,2018,2018-04-30,101.45999908447266,101.43000030517578,-0.00029567099908899946
AMD,2018-04-25,4,LONG,1,3,2018-04-26,2018,2018-05-01,10.869999885559082,11.130000114440918,0.023919064546380465
META,2018-04-25,4,LONG,1,3,2018-04-26,2018,2018-05-01,173.22000122070312,173.86000061035156,0.0036947199234400262
AMZN,2018-04-26,4,LONG,1,3,2018-04-27,2018,2018-05-02,81.70050048828125,78.48400115966797,-0.03936939565106631
BIDU,2018-04-26,4,LONG,1,3,2018-04-27,2018,2018-05-02,253.9499969482422,249.8000030517578,-0.016341775728905363
FSLR,2018-04-26,4,LONG,1,3,2018-04-27,2018,2018-05-02,76.0,68.0199966430664,-0.10500004417017887
INTC,2018-04-26,4,LONG,1,3,2018-04-27,2018,2018-05-02,55.439998626708984,52.310001373291016,-0.0564573833144009
MSFT,2018-04-26,4,LONG,1,3,2018-04-27,2018,2018-05-02,97.5999984741211,93.51000213623047,-0.04190570083845953
FIVN,2018-05-01,4,LONG,1,3,2018-05-02,2018,2018-05-07,31.440000534057617,32.099998474121094,0.02099230053601713
CYBR,2018-05-03,4,LONG,1,3,2018-05-04,2018,2018-05-09,56.849998474121094,59.529998779296875,0.047141607336994996
EA,2018-05-08,4,LONG,1,3,2018-05-09,2018,2018-05-14,127.98999786376953,132.52999877929688,0.035471528957752206
RUN,2018-05-09,4,LONG,1,3,2018-05-10,2018,2018-05-15,10.970000267028809,10.850000381469727,-0.01093891364066335
GLOB,2018-05-10,4,LONG,1,3,2018-05-11,2018,2018-05-16,53.0,50.900001525878906,-0.03962261271926592
HUBS,2018-05-10,4,LONG,1,3,2018-05-11,2018,2018-05-16,120.55000305175781,109.9000015258789,-0.0883450954481217
KTOS,2018-05-10,4,LONG,1,3,2018-05-11,2018,2018-05-16,11.079999923706055,10.930000305175781,-0.013537871801726633
CRM,2018-05-29,4,LONG,1,3,2018-05-30,2018,2018-06-04,132.3000030517578,132.64999389648438,0.0026454333836231332
CDNS,2018-07-23,4,LONG,1,3,2018-07-24,2018,2018-07-27,45.79999923706055,45.2400016784668,-0.012227021133673075
TER,2018-07-24,4,LONG,1,3,2018-07-25,2018,2018-07-30,44.61000061035156,43.220001220703125,-0.031158918866409833
CW,2018-07-25,4,LONG,1,3,2018-07-26,2018,2018-07-31,128.6999969482422,133.02999877929688,0.033644148669218964
AMZN,2018-07-26,4,LONG,1,3,2018-07-27,2018,2018-08-01,93.80249786376953,89.8584976196289,-0.042045791252473284
LSCC,2018-07-26,4,LONG,1,3,2018-07-27,2018,2018-08-01,7.489999771118164,7.619999885559082,0.017356491109947067
AMKR,2018-07-30,4,LONG,1,3,2018-07-31,2018,2018-08-03,9.09000015258789,9.050000190734863,-0.0044004357735505095
PAYC,2018-07-31,4,LONG,1,3,2018-08-01,2018,2018-08-06,116.05000305175781,134.47999572753906,0.15881079010020838
SONY,2018-07-31,4,LONG,1,3,2018-08-01,2018,2018-08-06,10.965999603271484,10.892000198364258,-0.006748076562500544
FORM,2018-08-01,4,LONG,1,3,2018-08-02,2018,2018-08-07,13.5,14.100000381469727,0.04444447270146123
FTNT,2018-08-01,4,LONG,1,3,2018-08-02,2018,2018-08-07,14.100000381469727,14.612000465393066,0.03631206170719061
ACLS,2018-08-02,4,LONG,1,3,2018-08-03,2018,2018-08-08,24.600000381469727,22.350000381469727,-0.09146341321583239
TTWO,2018-08-02,4,LONG,1,3,2018-08-03,2018,2018-08-08,129.47000122070312,124.94999694824219,-0.034911595194595225
FIVN,2018-08-06,4,LONG,1,3,2018-08-07,2018,2018-08-10,39.56999969482422,42.52000045776367,0.07455144770509854
CYBR,2018-08-07,4,LONG,1,3,2018-08-08,2018,2018-08-13,67.69000244140625,70.79000091552734,0.04579699161341457
SE,2018-08-21,4,LONG,1,3,2018-08-22,2018,2018-08-27,14.829999923706055,15.15999984741211,0.02225218647361846
VEEV,2018-08-23,4,LONG,1,3,2018-08-24,2018,2018-08-29,91.1500015258789,103.62000274658203,0.13680747133243543
AVAV,2018-09-05,4,LONG,1,3,2018-09-06,2018,2018-09-11,96.12000274658203,107.33999633789062,0.11672901862986651
PANW,2018-09-06,4,LONG,1,3,2018-09-07,2018,2018-09-12,38.641666412353516,39.371665954589844,0.018891512970645372
CDNS,2018-10-22,4,LONG,1,3,2018-10-23,2018,2018-10-26,43.900001525878906,45.52000045776367,0.03690202450060922
LMT,2018-10-23,4,LONG,1,3,2018-10-24,2018,2018-10-29,328.1099853515625,286.6700134277344,-0.12629902707601576
MSFT,2018-10-24,4,LONG,1,3,2018-10-25,2018,2018-10-30,106.55000305175781,103.7300033569336,-0.026466444054951115
TSLA,2018-10-24,4,LONG,1,3,2018-10-25,2018,2018-10-30,21.148000717163086,21.99333381652832,0.03997224658117149
INTC,2018-10-25,4,LONG,1,3,2018-10-26,2018,2018-10-31,45.59000015258789,46.880001068115234,0.02829569886400006
ON,2018-10-28,4,LONG,1,3,2018-10-29,2018,2018-11-01,16.149999618530273,18.399999618530273,0.1393188887396866
AMKR,2018-10-29,4,LONG,1,3,2018-10-30,2018,2018-11-02,6.300000190734863,7.139999866485596,0.13333327782848062
KLAC,2018-10-29,4,LONG,1,3,2018-10-30,2018,2018-11-02,88.5,93.29000091552734,0.054124304130252474
META,2018-10-30,4,LONG,1,3,2018-10-31,2018,2018-11-05,155.0,148.67999267578125,-0.04077424080141129
FORM,2018-10-31,4,LONG,1,3,2018-11-01,2018,2018-11-06,13.5,14.949999809265137,0.10740739327889902
PH,2018-11-01,4,LONG,1,3,2018-11-02,2018,2018-11-07,161.64999389648438,171.02999877929688,0.058026633077506724
FIVN,2018-11-06,4,LONG,1,3,2018-11-07,2018,2018-11-12,43.790000915527344,42.0,-0.04087693258970985
KTOS,2018-11-06,4,LONG,1,3,2018-11-07,2018,2018-11-12,13.539999961853027,15.109999656677246,0.11595271043186585
TWLO,2018-11-06,4,LONG,1,3,2018-11-07,2018,2018-11-12,82.25,83.33999633789062,0.013252235111132219
CYBR,2018-11-07,4,LONG,1,3,2018-11-08,2018,2018-11-13,83.5,75.1500015258789,-0.09999998172600112
HUBS,2018-11-07,4,LONG,1,3,2018-11-08,2018,2018-11-13,146.77999877929688,127.5999984741211,-0.13067175681078624
TTWO,2018-11-07,4,LONG,1,3,2018-11-08,2018,2018-11-13,129.11000061035156,107.0,-0.17124932620114064
