symbol,date,release_time,entry_date,eps_actual,eps_estimate,eps_surprise_raw,eps_surprise_pct,sue,rev_actual,rev_estimate,rev_surprise_pct,close_prev_day,open_day1,gap_pct,volume_day1,avg_volume_20d,volume_ratio,guidance_flag,ret_1d,ret_5d,ret_10d,ret_20d,earnings_date,score,signal,reasons,signal_date,entry_open,entry_year,ret_3d,ret_close_1d,ret_close_3d,ret_close_5d,ret_close_10d,ret_close_20d,pnl_1d,pnl_3d,pnl_5d,pnl_10d,pnl_20d
ASML,2018-01-17,AMC,2018-01-18,2.15,1.59,0.5599999999999998,0.3522012578616351,,3004139997.0,2481618460.0,0.210556757786207,199.17999267578125,202.17999267578125,0.0150617537419197,3618500.0,782135.0,4.626439169708554,0,0.015036149248441592,0.024532628813678542,-0.0004945634995986435,-0.04436633834633905,2018-01-17,4,LONG,EPS strong beat; Revenue beat; Positive gap; High volume,2018-01-17,202.17999267578125,2018,0.011079263895098501,0.016519990689859102,0.016074785427516298,-0.006677173279412604,-0.003758999576455004,-0.03600751331993164,0.015036149248441592,0.011079263895098501,0.024532628813678542,-0.0004945634995986435,-0.04436633834633905
LRCX,2018-01-24,AMC,2018-01-25,0.43,0.37,0.06,0.1621621621621621,,2580815000.0,2188328110.0,0.1793546809577837,20.972999572753903,21.600000381469727,0.029895619200334,82788000.0,29795800.0,2.7785124077890173,0,-0.0650463269366807,-0.12037038590518835,-0.20064812765036463,-0.11925926704302069,2018-01-24,4,LONG,EPS strong beat; Revenue beat; Positive gap; High volume,2018-01-24,21.600000381469727,2018,-0.11064820624019117,-0.06217594390134557,-0.11537039517702181,-0.12449078869835908,-0.24893521822937828,-0.10601855903168857,-0.0650463269366807,-0.11064820624019117,-0.12037038590518835,-0.20064812765036463,-0.11925926704302069
INTC,2018-01-25,AMC,2018-01-26,1.08,0.86,0.22,0.2558139534883722,,17053000000.0,13737138888.0,0.2413793104251535,45.29999923706055,48.380001068115234,0.0679912115436614,86916100.0,37132250.0,2.3407173009984583,0,0.025216977657528346,-0.02190990801754256,-0.10086814717603203,-0.003720551905783445,2018-01-25,4,LONG,EPS strong beat; Revenue beat; Positive gap; High volume,2018-01-25,48.380001068115234,2018,0.017569211561702176,0.03307148488625335,-0.004960762157257777,-0.046093416556495403,-0.09156676741157342,0.015088869907393061,0.025216977657528346,0.017569211561702176,-0.02190990801754256,-0.10086814717603203,-0.003720551905783445
AMD,2018-01-30,AMC,2018-01-31,0.08,0.05,0.03,0.6,,1340000000.0,837500000.0,0.6,12.869999885559082,13.239999771118164,0.0287490201125987,140977800.0,59715555.0,2.36082206721515,0,0.028700915484141706,-0.11631419852531984,-0.11480358990678338,-0.07401809359348378,2018-01-30,4,LONG,EPS strong beat; Revenue beat; Positive gap; High volume,2018-01-30,13.239999771118164,2018,-0.08987912393919938,0.0007553043092682308,-0.12613293845645648,-0.1238670255286518,-0.07854984741930972,-0.10120847248887248,0.028700915484141706,-0.08987912393919938,-0.11631419852531984,-0.11480358990678338,-0.07401809359348378
SAP,2018-01-30,AMC,2018-01-31,1.77,1.55,0.2199999999999999,0.1419354838709677,,7984366772.0,6462711840.0,0.2354514590271442,110.80999755859376,112.3499984741211,0.0138976712341594,5107400.0,1168580.0,4.370603638604118,0,-0.001157073922416764,-0.05829991554358605,-0.08785042502213271,-0.08482420034471147,2018-01-30,4,LONG,EPS strong beat; Revenue beat; Positive gap; High volume,2018-01-30,112.3499984741211,2018,-0.0406764553350384,-0.006230502516681619,-0.057676865291917886,-0.06461951254857161,-0.06426347413227775,-0.09212281811027466,-0.001157073922416764,-0.0406764553350384,-0.05829991554358605,-0.08785042502213271,-0.08482420034471147
AMZN,2018-02-01,AMC,2018-02-02,0.11,0.09,0.02,0.2222222222222222,,60453000000.0,51497000000.0,0.1739130434782608,69.5,73.86949920654297,0.0628704921804743,222514000.0,99681700.0,2.23224523658806,0,-0.05060955526432308,-0.07032672145642586,-0.013550916974335336,0.011405232042269632,2018-02-01,4,LONG,EPS strong beat; Revenue beat; Positive gap; High volume,2018-02-01,73.86949920654297,2018,-0.019216351451520997,-0.059151601858374876,-0.041025082772830165,-0.09326577171378927,-0.019426117328634137,0.03128486092501691,-0.05060955526432308,-0.019216351451520997,-0.07032672145642586,-0.013550916974335336,0.011405232042269632
NXPI,2018-02-07,AMC,2018-02-08,3.21,1.82,1.39,0.7637362637362637,,2456000000.0,2237688888.0,0.097560976045746,116.41000366210938,118.25,0.0158061702603444,5688000.0,2877485.0,1.9767262036118347,0,-0.0165750451118195,-0.02418605167316332,0.06283298355328357,0.04828751868475819,2018-02-07,4,LONG,EPS strong beat; Revenue beat; Positive gap; High volume,2018-02-07,118.25,2018,-0.017251593365981765,-0.020887959583113107,-0.017336178027550213,-0.011247372778475158,0.06080340330998943,0.04591966431438293,-0.0165750451118195,-0.017251593365981765,-0.02418605167316332,0.06283298355328357,0.04828751868475819
NVDA,2018-02-08,AMC,2018-02-09,0.04,0.02977,0.01023,0.3436345314074571,,2911000000.0,1913410112.0,0.5213675216534028,5.438000202178955,5.956250190734863,0.0953015758160969,1674604000.0,626312400.0,2.673751948708025,0,-0.012130176520006706,0.030010498622946368,0.040083940949609015,0.03672612684072146,2018-02-08,4,LONG,EPS strong beat; Revenue beat; Positive gap; High volume,2018-02-08,5.956250190734863,2018,-0.030430235393632713,-0.04289616930754721,0.013305327398683965,0.023462749102125167,0.03496328043780074,0.04831055749657238,-0.012130176520006706,-0.030430235393632713,0.030010498622946368,0.040083940949609015,0.03672612684072146
BIDU,2018-02-13,AMC,2018-02-14,2.29,2.05,0.2400000000000002,0.1170731707317074,,3575800800.0,3318442627.0,0.0775539016121733,225.6000061035156,236.0399932861328,0.0462765376780479,7950200.0,3199115.0,2.4851247923253776,0,0.020971074173141233,0.051050683759131174,0.06604817844483302,0.11426036793179598,2018-02-13,4,LONG,EPS strong beat; Revenue beat; Positive gap; High volume,2018-02-13,236.0399932861328,2018,0.029783147932748843,0.05151670906619945,0.0397813915299755,0.05638880357553699,0.05808340579491383,0.11298931929986696,0.020971074173141233,0.029783147932748843,0.051050683759131174,0.06604817844483302,0.11426036793179598
HUBS,2018-02-13,AMC,2018-02-14,0.12,0.07,0.0499999999999999,0.7142857142857141,,106541000.0,75339706.0,0.4141414355930722,97.0,98.0,0.0103092783505154,1177200.0,399235.0,2.9486392726088644,0,0.055612213757573345,0.13622447422572545,0.13520408163265307,0.20816328087631536,2018-02-13,4,LONG,EPS strong beat; Revenue beat; Positive gap; High volume,2018-02-13,98.0,2018,0.07142857142857142,0.047448995162029654,0.11122450536611128,0.12959180559430802,0.14438777067223374,0.18826527498206314,0.055612213757573345,0.07142857142857142,0.13622447422572545,0.13520408163265307,0.20816328087631536
